CLIENTE;CODICE CLIENTE;DATA 1^ ABBONAMENTO;SCADENZA ABBONAMENTO;CODICE LIBRO PRENOTATO;SCADENZA LIBRO;MORE;RICHIESTE EFFETTUATE;LIBRI TOTALI PRENOTATI
M;11;01/01/2004;31/12/2023;1;13/11/2023; -   € ;2;300
N;12;01/01/2005;31/12/2023;2;15/11/2023; -   € ;3;250
O;13;01/01/2006;31/12/2023;3;30/11/2023; -   € ;4;350
P;14;01/01/2008;31/12/2023;4;09/10/2023; 10,00 € ;6;70
Q;15;01/01/2009;31/12/2023;5;12/12/2023; -   € ;5;100
R;16;01/01/2010;31/12/2023;6;31/12/2023; -   € ;15;80
S;17;01/01/2011;31/12/2023;7;01/11/2023; 2,00 € ;4;5
T;18;01/01/2012;31/12/2023;8;05/01/2024; -   € ;3;90
U;19;01/01/2013;31/12/2023;9;13/11/2023; -   € ;2;5
V;20;01/01/2014;31/12/2023;10;12/11/2023; 2,00 € ;1;
